A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/2/2017 1:00,2017,1,2,1,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 2:00,2017,1,2,2,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 3:00,2017,1,2,3,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 4:00,2017,1,2,4,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 5:00,2017,1,2,5,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 6:00,2017,1,2,6,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 7:00,2017,1,2,7,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 8:00,2017,1,2,8,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 9:00,2017,1,2,9,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 10:00,2017,1,2,10,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 11:00,2017,1,2,11,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 12:00,2017,1,2,12,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 13:00,2017,1,2,13,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 14:00,2017,1,2,14,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 15:00,2017,1,2,15,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 16:00,2017,1,2,16,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 17:00,2017,1,2,17,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 18:00,2017,1,2,18,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 19:00,2017,1,2,19,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 20:00,2017,1,2,20,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 21:00,2017,1,2,21,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 22:00,2017,1,2,22,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/2/2017 23:00,2017,1,2,23,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 0:00,2017,1,3,0,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 1:00,2017,1,3,1,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 2:00,2017,1,3,2,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 3:00,2017,1,3,3,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 4:00,2017,1,3,4,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 5:00,2017,1,3,5,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 6:00,2017,1,3,6,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 7:00,2017,1,3,7,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 8:00,2017,1,3,8,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 9:00,2017,1,3,9,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 10:00,2017,1,3,10,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/3/2017 11:00,2017,1,3,11,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 12:00,2017,1,3,12,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 13:00,2017,1,3,13,38,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 14:00,2017,1,3,14,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 15:00,2017,1,3,15,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 16:00,2017,1,3,16,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 17:00,2017,1,3,17,77,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 18:00,2017,1,3,18,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 19:00,2017,1,3,19,150,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 20:00,2017,1,3,20,162,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 21:00,2017,1,3,21,141,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 22:00,2017,1,3,22,106,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2017 23:00,2017,1,3,23,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 0:00,2017,1,4,0,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 1:00,2017,1,4,1,65,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 2:00,2017,1,4,2,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 3:00,2017,1,4,3,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 4:00,2017,1,4,4,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 5:00,2017,1,4,5,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 6:00,2017,1,4,6,46,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 7:00,2017,1,4,7,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 8:00,2017,1,4,8,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 9:00,2017,1,4,9,70,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 10:00,2017,1,4,10,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 11:00,2017,1,4,11,87,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 12:00,2017,1,4,12,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 13:00,2017,1,4,13,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 14:00,2017,1,4,14,70,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 15:00,2017,1,4,15,74,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 16:00,2017,1,4,16,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 17:00,2017,1,4,17,83,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 18:00,2017,1,4,18,104,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 19:00,2017,1,4,19,124,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 20:00,2017,1,4,20,138,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 21:00,2017,1,4,21,170,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 22:00,2017,1,4,22,179,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/4/2017 23:00,2017,1,4,23,172,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 0:00,2017,1,5,0,164,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 1:00,2017,1,5,1,159,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 2:00,2017,1,5,2,161,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 3:00,2017,1,5,3,173,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 4:00,2017,1,5,4,185,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 5:00,2017,1,5,5,152,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 6:00,2017,1,5,6,157,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 7:00,2017,1,5,7,165,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 8:00,2017,1,5,8,144,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 9:00,2017,1,5,9,140,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 10:00,2017,1,5,10,161,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 11:00,2017,1,5,11,171,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 12:00,2017,1,5,12,180,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 13:00,2017,1,5,13,163,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 14:00,2017,1,5,14,164,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 15:00,2017,1,5,15,238,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 16:00,2017,1,5,16,210,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 17:00,2017,1,5,17,170,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 18:00,2017,1,5,18,164,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 19:00,2017,1,5,19,181,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 20:00,2017,1,5,20,200,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 21:00,2017,1,5,21,203,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 22:00,2017,1,5,22,192,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/5/2017 23:00,2017,1,5,23,197,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 0:00,2017,1,6,0,190,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 1:00,2017,1,6,1,198,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 2:00,2017,1,6,2,188,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 3:00,2017,1,6,3,173,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 4:00,2017,1,6,4,169,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 5:00,2017,1,6,5,148,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 6:00,2017,1,6,6,134,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 7:00,2017,1,6,7,126,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 8:00,2017,1,6,8,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 9:00,2017,1,6,9,73,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 10:00,2017,1,6,10,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 11:00,2017,1,6,11,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 12:00,2017,1,6,12,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 13:00,2017,1,6,13,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 14:00,2017,1,6,14,41,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 15:00,2017,1,6,15,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 16:00,2017,1,6,16,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 17:00,2017,1,6,17,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 18:00,2017,1,6,18,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 19:00,2017,1,6,19,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 20:00,2017,1,6,20,75,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 21:00,2017,1,6,21,85,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 22:00,2017,1,6,22,101,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/6/2017 23:00,2017,1,6,23,90,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 0:00,2017,1,7,0,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 1:00,2017,1,7,1,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 2:00,2017,1,7,2,41,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 3:00,2017,1,7,3,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 4:00,2017,1,7,4,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 5:00,2017,1,7,5,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 6:00,2017,1,7,6,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 7:00,2017,1,7,7,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 8:00,2017,1,7,8,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 9:00,2017,1,7,9,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 10:00,2017,1,7,10,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 11:00,2017,1,7,11,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 12:00,2017,1,7,12,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 13:00,2017,1,7,13,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 14:00,2017,1,7,14,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 15:00,2017,1,7,15,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 16:00,2017,1,7,16,50,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 17:00,2017,1,7,17,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 18:00,2017,1,7,18,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 19:00,2017,1,7,19,73,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 20:00,2017,1,7,20,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 21:00,2017,1,7,21,101,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 22:00,2017,1,7,22,113,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/7/2017 23:00,2017,1,7,23,117,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 0:00,2017,1,8,0,111,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 1:00,2017,1,8,1,106,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 2:00,2017,1,8,2,108,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 3:00,2017,1,8,3,99,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 4:00,2017,1,8,4,74,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 5:00,2017,1,8,5,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 6:00,2017,1,8,6,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 7:00,2017,1,8,7,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/8/2017 8:00,2017,1,8,8,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/8/2017 9:00,2017,1,8,9,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/8/2017 10:00,2017,1,8,10,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 11:00,2017,1,8,11,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 12:00,2017,1,8,12,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 13:00,2017,1,8,13,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 14:00,2017,1,8,14,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 15:00,2017,1,8,15,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 16:00,2017,1,8,16,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 17:00,2017,1,8,17,40,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 18:00,2017,1,8,18,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 19:00,2017,1,8,19,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 20:00,2017,1,8,20,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 21:00,2017,1,8,21,45,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 22:00,2017,1,8,22,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/8/2017 23:00,2017,1,8,23,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 0:00,2017,1,9,0,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 1:00,2017,1,9,1,41,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 2:00,2017,1,9,2,28,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 3:00,2017,1,9,3,33,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 4:00,2017,1,9,4,30,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 5:00,2017,1,9,5,24,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 6:00,2017,1,9,6,22,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 7:00,2017,1,9,7,26,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 8:00,2017,1,9,8,25,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 9:00,2017,1,9,9,27,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 10:00,2017,1,9,10,27,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 11:00,2017,1,9,11,25,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 12:00,2017,1,9,12,32,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 13:00,2017,1,9,13,28,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 14:00,2017,1,9,14,26,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 15:00,2017,1,9,15,32,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 16:00,2017,1,9,16,32,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 17:00,2017,1,9,17,36,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 18:00,2017,1,9,18,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 19:00,2017,1,9,19,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 20:00,2017,1,9,20,31,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 21:00,2017,1,9,21,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 22:00,2017,1,9,22,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/9/2017 23:00,2017,1,9,23,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 0:00,2017,1,10,0,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 1:00,2017,1,10,1,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 2:00,2017,1,10,2,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 3:00,2017,1,10,3,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 4:00,2017,1,10,4,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 5:00,2017,1,10,5,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 6:00,2017,1,10,6,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 7:00,2017,1,10,7,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 8:00,2017,1,10,8,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 9:00,2017,1,10,9,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 10:00,2017,1,10,10,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 11:00,2017,1,10,11,53,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 12:00,2017,1,10,12,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 13:00,2017,1,10,13,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 14:00,2017,1,10,14,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 15:00,2017,1,10,15,77,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 16:00,2017,1,10,16,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 17:00,2017,1,10,17,82,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 18:00,2017,1,10,18,94,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 19:00,2017,1,10,19,96,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 20:00,2017,1,10,20,102,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 21:00,2017,1,10,21,108,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 22:00,2017,1,10,22,110,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/10/2017 23:00,2017,1,10,23,108,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 0:00,2017,1,11,0,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/11/2017 1:00,2017,1,11,1,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/11/2017 2:00,2017,1,11,2,-999,µg/m³,1 Hr,Missing
Guangzhou,PM2.5,1/11/2017 3:00,2017,1,11,3,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 4:00,2017,1,11,4,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 5:00,2017,1,11,5,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 6:00,2017,1,11,6,62,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 7:00,2017,1,11,7,65,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 8:00,2017,1,11,8,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 9:00,2017,1,11,9,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 10:00,2017,1,11,10,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 11:00,2017,1,11,11,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 12:00,2017,1,11,12,65,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 13:00,2017,1,11,13,54,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 14:00,2017,1,11,14,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 15:00,2017,1,11,15,74,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 16:00,2017,1,11,16,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 17:00,2017,1,11,17,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 18:00,2017,1,11,18,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 19:00,2017,1,11,19,75,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 20:00,2017,1,11,20,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 21:00,2017,1,11,21,74,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 22:00,2017,1,11,22,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/11/2017 23:00,2017,1,11,23,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/12/2017 0:00,2017,1,12,0,73,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/12/2017 1:00,2017,1,12,1,75,µg/m³,1 Hr,Valid
